Phase 05 - Full Label System
input=C:\Users\Admin\Documents\GAN_SQLi\Guiding\Phase 4\outputs\full\phase04_payload_foundation.parquet
out_dir=C:\Users\Admin\Documents\GAN_SQLi\Guiding\Phase 5\outputs\full
report_dir=C:\Users\Admin\Documents\GAN_SQLi\Guiding\Phase 5\reports
log_dir=C:\Users\Admin\Documents\GAN_SQLi\Guiding\Phase 5\logs
batch_size=100000
payload_col=payload_working
mode=full
rows_total=12,753,953
batch=81 rows=8,100,000/12,753,953 rate=792/s elapsed=10230.5s
batch=82 rows=8,200,000/12,753,953 rate=793/s elapsed=10344.7s
batch=83 rows=8,300,000/12,753,953 rate=792/s elapsed=10476.7s
batch=84 rows=8,400,000/12,753,953 rate=793/s elapsed=10590.7s
batch=85 rows=8,500,000/12,753,953 rate=785/s elapsed=10824.6s
batch=86 rows=8,600,000/12,753,953 rate=781/s elapsed=11010.6s
batch=87 rows=8,700,000/12,753,953 rate=782/s elapsed=11127.5s
batch=88 rows=8,800,000/12,753,953 rate=779/s elapsed=11293.1s
batch=89 rows=8,900,000/12,753,953 rate=773/s elapsed=11506.4s
batch=90 rows=9,000,000/12,753,953 rate=767/s elapsed=11740.1s
batch=91 rows=9,100,000/12,753,953 rate=767/s elapsed=11858.1s
batch=92 rows=9,200,000/12,753,953 rate=767/s elapsed=11995.2s
batch=93 rows=9,300,000/12,753,953 rate=767/s elapsed=12127.1s
batch=94 rows=9,400,000/12,753,953 rate=765/s elapsed=12284.0s
batch=95 rows=9,500,000/12,753,953 rate=765/s elapsed=12421.7s
batch=96 rows=9,600,000/12,753,953 rate=765/s elapsed=12546.1s
batch=97 rows=9,700,000/12,753,953 rate=765/s elapsed=12671.5s
batch=98 rows=9,800,000/12,753,953 rate=761/s elapsed=12885.2s
batch=99 rows=9,900,000/12,753,953 rate=761/s elapsed=13008.2s
batch=100 rows=10,000,000/12,753,953 rate=762/s elapsed=13124.7s
batch=101 rows=10,100,000/12,753,953 rate=754/s elapsed=13391.7s
batch=102 rows=10,200,000/12,753,953 rate=743/s elapsed=13732.6s
batch=103 rows=10,300,000/12,753,953 rate=727/s elapsed=14158.9s
batch=104 rows=10,400,000/12,753,953 rate=717/s elapsed=14501.1s
batch=105 rows=10,500,000/12,753,953 rate=700/s elapsed=15002.6s
batch=106 rows=10,600,000/12,753,953 rate=696/s elapsed=15235.2s
batch=107 rows=10,700,000/12,753,953 rate=692/s elapsed=15468.8s
batch=108 rows=10,800,000/12,753,953 rate=688/s elapsed=15706.9s
batch=109 rows=10,900,000/12,753,953 rate=683/s elapsed=15948.7s
batch=110 rows=11,000,000/12,753,953 rate=680/s elapsed=16182.6s
batch=111 rows=11,100,000/12,753,953 rate=676/s elapsed=16415.2s
batch=112 rows=11,200,000/12,753,953 rate=673/s elapsed=16645.4s
batch=113 rows=11,300,000/12,753,953 rate=670/s elapsed=16876.6s
batch=114 rows=11,400,000/12,753,953 rate=666/s elapsed=17111.4s
batch=115 rows=11,500,000/12,753,953 rate=663/s elapsed=17345.4s
batch=116 rows=11,600,000/12,753,953 rate=660/s elapsed=17577.4s
batch=117 rows=11,700,000/12,753,953 rate=657/s elapsed=17809.2s
batch=118 rows=11,800,000/12,753,953 rate=654/s elapsed=18041.6s
batch=119 rows=11,900,000/12,753,953 rate=651/s elapsed=18274.2s
batch=120 rows=12,000,000/12,753,953 rate=648/s elapsed=18508.0s
batch=121 rows=12,100,000/12,753,953 rate=646/s elapsed=18739.3s
batch=122 rows=12,200,000/12,753,953 rate=643/s elapsed=18972.0s
batch=123 rows=12,300,000/12,753,953 rate=640/s elapsed=19213.1s
batch=124 rows=12,400,000/12,753,953 rate=637/s elapsed=19459.6s
batch=125 rows=12,500,000/12,753,953 rate=636/s elapsed=19663.6s
batch=126 rows=12,600,000/12,753,953 rate=630/s elapsed=20010.2s
batch=127 rows=12,700,000/12,753,953 rate=630/s elapsed=20154.6s
batch=128 rows=12,753,953/12,753,953 rate=631/s elapsed=20203.5s
Done
rows=12,753,953
gold=1,652,331
silver=268,303
bronze=10,833,319
review_queue=11,064,143
summary=C:\Users\Admin\Documents\GAN_SQLi\Guiding\Phase 5\Tổng kết Phase 5.md
